Column1,Column2,Column3,Column4
8845,10455,617636,796140
8880,10493,620069,799232
8944,10564,624627,804705
8995,10625,628172,809571
9039,10674,631273,813296
9264,11035,645587,835805
9404,11270,654408,849678
9540,11501,662858,863284
9688,11752,672101,878605
9787,11901,678519,888170
9890,12017,685842,897141
9943,12076,689553,901923
9978,12114,692047,904938
10116,12341,700764,918787
10251,12570,709161,932517
10535,13047,726951,961186
10656,13251,734556,973365
10721,13327,739132,979048
10764,13374,742156,982662
10859,13481,748855,991191
10913,13545,752634,996226
10957,13594,755746,1000151
11010,13652,759460,1004619
11059,13708,762918,1009142
11173,13838,770969,1019221
11216,13889,774006,1023062
11276,13955,778223,1028306
11307,13989,780406,1030905
11374,14066,785095,1036907
11429,14134,788931,1042230
11526,14240,795793,1050469
11584,14304,799870,1055392
11631,14360,803165,1059920
11690,14426,807360,1065023
11729,14470,810120,1068498
11771,14518,813067,1072258
11879,14642,820628,1081757
11930,14702,824267,1086280
11983,14761,827937,1090993
12029,14814,831216,1095187
12071,14860,834221,1098586
12122,14921,837766,1103652
12228,15039,845260,1112958
12278,15097,848811,1117530
12329,15153,852396,1121717
12383,15217,856183,1126821
12436,15274,859892,1131146
12534,15387,866813,1140135
12584,15441,870379,1144302
12630,15493,873584,1148382
12686,15556,877515,1153567
12726,15603,880335,1157096
12822,15711,887133,1165531
12876,15772,890899,1170325
12924,15826,894313,1174556
12985,15896,898601,1179979
13038,15957,902328,1184629
13144,16079,909774,1194140
13211,16157,914485,1200187
13254,16205,917498,1203966
13300,16255,920775,1207738
13351,16316,924381,1212647
13449,16424,931270,1221194
13495,16479,934513,1225387
13543,16528,937909,1229149
13591,16584,941254,1233760
13641,16640,944800,1238104
13690,16697,948288,1242581
13789,16809,955248,1251408
13841,16869,958912,1255923
13892,16926,962480,1260413
13943,16984,966081,1264828
13990,17039,969396,1269205
14043,17099,973079,1274069
14149,17218,980578,1283358
14204,17283,984478,1288459
14256,17339,988165,1292718
14302,17391,991417,1296950
14358,17456,995339,1302011
14401,17502,998366,1305591
14511,17629,1006109,1315571
14568,17692,1010183,1320377
14618,17746,1013639,1324544
14671,17808,1017385,1329308
14726,17872,1021222,1334335
